t_cumulative,R_26_10,R_36_10,status
0.00E+00,7.00000,3.00000,INITIAL
5.00E+03,6.98351,2.97301,BURIAL
1.00E+04,6.96706,2.94626,BURIAL
1.50E+04,6.95065,2.91975,BURIAL
2.00E+04,6.93428,2.89347,BURIAL
2.50E+04,6.91795,2.86744,BURIAL
3.00E+04,6.90166,2.84164,BURIAL
3.50E+04,6.88540,2.81607,BURIAL
4.00E+04,6.86918,2.79073,BURIAL
4.50E+04,6.85300,2.76562,BURIAL
5.00E+04,6.83686,2.74074,BURIAL
5.50E+04,6.82076,2.71608,BURIAL
6.00E+04,6.80469,2.69164,BURIAL
6.50E+04,6.78867,2.66742,BURIAL
7.00E+04,6.77268,2.64342,BURIAL
7.50E+04,6.75672,2.61963,BURIAL
8.00E+04,6.74081,2.59606,BURIAL
8.50E+04,6.72493,2.57270,BURIAL
9.00E+04,6.70909,2.54955,BURIAL
9.50E+04,6.69329,2.52661,BURIAL
1.00E+05,6.67753,2.50388,BURIAL
1.05E+05,6.66180,2.48135,BURIAL
1.10E+05,6.64611,2.45902,BURIAL
1.15E+05,6.63045,2.43690,BURIAL
1.20E+05,6.61484,2.41497,BURIAL
1.25E+05,6.59925,2.39324,BURIAL
1.30E+05,6.58371,2.37171,BURIAL
1.35E+05,6.56820,2.35037,BURIAL
1.40E+05,6.55273,2.32922,BURIAL
1.45E+05,6.53730,2.30826,BURIAL
1.50E+05,6.52190,2.28749,BURIAL
1.55E+05,6.50654,2.26691,BURIAL
1.60E+05,6.49122,2.24651,BURIAL
1.65E+05,6.47593,2.22630,BURIAL
1.70E+05,6.46067,2.20627,BURIAL
1.75E+05,6.44546,2.18641,BURIAL
1.80E+05,6.43027,2.16674,BURIAL
1.85E+05,6.41513,2.14725,BURIAL
1.90E+05,6.40002,2.12793,BURIAL
1.95E+05,6.38494,2.10878,BURIAL
2.00E+05,6.36991,2.08980,BURIAL
2.05E+05,6.35490,2.07100,BURIAL
2.10E+05,6.33993,2.05237,BURIAL
2.15E+05,6.32500,2.03390,BURIAL
2.20E+05,6.31010,2.01560,BURIAL
2.25E+05,6.29524,1.99746,BURIAL
2.30E+05,6.28041,1.97949,BURIAL
2.35E+05,6.26562,1.96168,BURIAL
2.40E+05,6.25086,1.94403,BURIAL
2.45E+05,6.23614,1.92654,BURIAL
2.50E+05,6.22145,1.90920,BURIAL
2.55E+05,6.20680,1.89202,BURIAL
2.60E+05,6.19218,1.87500,BURIAL
